,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,21,0,67,24,0,23,21,23,1,0,True,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.019,0.0,0.0005619999999999999,0.00028400000000000007,0.0,0.000243,0.0006550000000000001,0.0004660000000000001,0.018634,SOLVER_RET_SUCCESS
"900.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.015,0.0,0.0004410000000000001,0.00020200000000000003,0.0,0.00019700000000000005,0.000501,0.00033900000000000005,0.014894,SOLVER_RET_SUCCESS
"1800.0",48,62,0,189,64,0,64,62,64,1,0,True,0.0,0.0,0.002,0.0,0.0,0.004,0.0,0.044,0.0,0.0014260000000000004,0.000608,0.0,0.0005649999999999999,0.0017259999999999999,0.0009610000000000009,0.043926,SOLVER_RET_SUCCESS
"2700.0",48,27,0,84,29,0,29,27,29,1,0,True,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.02,0.0,0.0006219999999999997,0.000276,0.0,0.0002910000000000001,0.000982,0.00048799999999999994,0.020355,SOLVER_RET_SUCCESS
"3600.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.048,0.0,0.0015449999999999988,0.0007620000000000001,0.0,0.0006359999999999998,0.001781,0.0011200000000000003,0.047822,SOLVER_RET_SUCCESS
"4500.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.001,0.001,0.0,0.0,0.004,0.002,0.062,0.0,0.001942999999999997,0.0008189999999999993,0.0,0.000837,0.0023060000000000003,0.001380000000000001,0.06237,SOLVER_RET_SUCCESS
"5400.0",48,29,0,90,31,0,31,29,31,1,0,True,0.0,0.001,0.0,0.0,0.001,0.002,0.001,0.022,0.0,0.0006439999999999993,0.000297,0.0,0.000304,0.0008249999999999999,0.00048600000000000016,0.021449,SOLVER_RET_SUCCESS
"6300.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.004,0.002,0.0,0.001,0.004,0.0,0.077,0.0,0.0024200000000000007,0.0010919999999999999,0.0,0.0010669999999999996,0.0029720000000000007,0.001814999999999999,0.077966,SOLVER_RET_SUCCESS
"7200.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.003,0.001,0.0,0.001,0.004,0.002,0.078,0.0,0.0023650000000000016,0.0010739999999999997,0.0,0.00105,0.0028520000000000004,0.0017389999999999988,0.078009,SOLVER_RET_SUCCESS
"8100.0",48,56,0,171,58,0,58,56,58,1,0,True,0.0,0.003,0.0,0.0,0.0,0.002,0.002,0.069,0.0,0.0021400000000000013,0.0009749999999999994,0.0,0.0013970000000000005,0.0026400000000000004,0.0015719999999999998,0.069345,SOLVER_RET_SUCCESS
"9000.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.002,0.001,0.0,0.0,0.004,0.002,0.079,0.0,0.0025089999999999973,0.0011939999999999997,0.0,0.00113,0.0030440000000000003,0.0018439999999999993,0.078356,SOLVER_RET_SUCCESS
